USER_NAME,USER_BIRTH,USER_PHONE,USER_SEX,USER_MAIL,USER_IMAGE,USER_RENT_CNT,USER_QUIT_DATE,USER_RENT_ALW,USER_WARN
김겹상,2000-03-30,010-2374-5798,True,lifm1433@gmail.com,사진등록,0,,,
김성원,1999-08-06,010-4533-2341,True,kmgi@daum.net,사진등록,0,2022-06-19,,
산나비,1998-04-21,010-3421-9987,True,hamel@gmail.com,사진등록,0,,,
송수현,2000-03-23,010-3465-8721,False,kmijgu@gmail.com,사진등록,1,,,
신사임당,1988-08-15,010-2910-0058,False,sinsa0815@daum.net,사진등록,0,,,
안중근,1998-05-04,010-0545-2172,True,ann0504@naver.com,,0,,,0.0
유관순,1920-02-02,010-9001-1004,False,you0202@naver.com,,0,,2022-06-20,1.0
이세현,2004-08-19,010-5555-4444,True,이메일 없음,사진등록,0,,,
이순신,1999-01-01,010-3965-4122,True,lee0101@naver.com,,0,,,0.0
이은아,2002-08-04,010-3498-2998,False,javaindata@daum.net,사진등록,0,,,
장영실,2000-12-25,010-0308-1734,True,hang1225@google.com,,0,,,0.0
한수연,1995-03-15,010-1111-1111,False,이메일 없음,사진등록,0,,,
한유준,2004-04-16,010-4444-5555,True,jun0416@gmail.com,사진등록,1,,2022-06-20,
호아연,2003-02-03,010-5564-8767,False,이메일 없음,사진등록,0,,,
홍길동,1973-03-21,010-1274-6349,True,hong0321@naver.com,,0,,,0.0
한율,1997-11-20,010-8888-2626,True,이메일 없음,사진등록,0,,,
